FECHA_ENCUESTA;ID_HOGAR;ID_MUNICIPIO;NOM_MUNICIPIO;ID_MACROZONA;NOM_MACROZONA;ID_BARRIO;NOM_BARRIO;ESTRATO_EPM;ID_SIT;NOM_SIT;HOGARES_EN_VIVIENDA;MIEMBROS_HOGAR;MIEMBROS_PRESENTES;TIPO_VIVIENDA;DESC_TIPO_VIVIENDA;VIVIENDA_ES;DESC_VIVIENDA_ES;#CELDAS_PARQUEO;CELDA_PROPIA;CELDA_ALQUILADA;CELDAS_OTRO_TIPO;VEH_EN_HOGAR;TIPO_VEH_1;DES_TIPO_VEH_1;MODELO_VEH_1;MATRICULA_AMVA_VEH_1;DIGITO_PYP_1;TIPO_COMBUSTUBLE_1;DES_TIPO_COMBUSTUBLE_1;TIPO_VEH_2;DESC_TIPO_VEH_2;MODELO_VEH_2;MATRICULA_AMVA_VEH_2;DIGITO_PYP_2;TIPO_COMBUSTUBLE_2;DESC_TIPO_COMBUSTUBLE_2;TIPO_VEH_3;DESC_TIPO_VEH_3;MODELO_VEH_3;MATRICULA_AMVA_VEH_3;DIGITO_PYP_3;TIPO_COMBUSTUBLE_3;DESC_TIPO_COMBUSTUBLE_3;TIPO_VEH_4;DESC_TIPO_VEH_4;MODELO_VEH_4;MATRICULA_AMVA_VEH_4;DIGITO_PYP_4;TIPO_COMBUSTUBLE_4;DESC_TIPO_COMBUSTUBLE_4;TIPO_VEH_5;DESC_TIPO_VEH_5;MODELO_VEH_5;MATRICULA_AMVA_VEH_5;DIGITO_PYP_5;TIPO_COMBUSTUBLE_5;DESC_TIPO_COMBUSTUBLE_5;TIPO_VEH_6;DESC_TIPO_VEH_6;MODELO_VEH_6;MATRICULA_AMVA_VEH_6;DIGITO_PYP_6;TIPO_COMBUSTUBLE_6;DESC_TIPO_COMBUSTUBLE_6;TIPO_VEH_7;DESC_TIPO_VEH_7;MODELO_VEH_7;MATRICULA_AMVA_VEH_7;DIGITO_PYP_7;TIPO_COMBUSTUBLE_7;DESC_TIPO_COMBUSTUBLE_7
23/05/2017;980978;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;4;4;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981216;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;624;ItaguiItagui-Comuna 06;1;3;3;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2011;1;8;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981235;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;624;ItaguiItagui-Comuna 06;1;4;3;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2013;1;7;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22/05/2017;981568;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;2;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2017;981662;360;Itagui;3;Itagui-Comuna 04;00;.;ESTRATO 3;380;ItaguiItagui-Comuna 04;1;1;1;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;08;Taxi;2013;1;9;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981673;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;386;ItaguiItagui-Comuna 05;1;5;4;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2016;1;6;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981697;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;386;ItaguiItagui-Comuna 05;1;7;7;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981724;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 2;386;ItaguiItagui-Comuna 05;1;3;2;1;Casa;1;Propia;1;VERDADERO;FALSO;FALSO;1;06;Moto 4 tiempos;2010;1;3;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2017;981750;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 2;386;ItaguiItagui-Comuna 05;1;3;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15/05/2017;981765;360;Itagui;3;Itagui-Comuna 04;00;.;ESTRATO 3;380;ItaguiItagui-Comuna 04;1;1;1;2;Apartamento;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;981844;360;Itagui;3;Itagui-Comuna 04;00;.;ESTRATO 3;380;ItaguiItagui-Comuna 04;1;4;3;2;Apartamento;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2017;981898;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;5;4;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;3;09;Bicicleta sin motor;----;-;-;-;No responde;09;Bicicleta sin motor;----;-;-;-;No responde;09;Bicicleta sin motor;----;-;-;-;No responde;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/05/2017;981912;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;386;ItaguiItagui-Comuna 05;1;4;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/05/2017;981960;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 2;386;ItaguiItagui-Comuna 05;1;3;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;02;Automóvil mediano 1300-1800cc;2012;1;4;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30/05/2017;981979;360;Itagui;1;Itagui-Comuna 06;00;.;ESTRATO 1;386;ItaguiItagui-Comuna 05;1;3;2;1;Casa;1;Propia;1;FALSO;FALSO;VERDADERO;2;01;Automóvil Compacto < 1300cc;2007;1;3;G;Gasolina;06;Moto 4 tiempos;2014;1;3;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2017;982042;360;Itagui;2;Itagui-Comuna 05;00;.;ESTRATO 2;651;ItaguiItagui-Comuna 05;1;4;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2011;1;-;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24/05/2017;982161;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;383;ItaguiItagui-Comuna 01;1;3;3;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2017;982178;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;383;ItaguiItagui-Comuna 01;1;6;4;1;Casa;2;Alquilada;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2013;1;8;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18/05/2017;982277;360;Itagui;23;Itagui-Comuna 01;00;.;ESTRATO 3;381;ItaguiItagui-Comuna 01;1;4;4;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;982315;360;Itagui;3;Itagui-Comuna 04;00;.;ESTRATO 3;380;ItaguiItagui-Comuna 04;1;2;1;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
