objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
23582,15,09,1509,1509005,4,1778724905000,189.5919233413764,68.28274568089756
23583,15,09,1509,1509006,3,1778724905000,7305.763024582011,353.383740998864
23584,15,09,1509,1509007,3,1778724905000,3543.6940222422363,472.38939416598527
23585,15,09,1509,1509009,3,1778724905000,3781.4305642405334,879.5404026977754
23586,16,05,1605,1605024,3,1778724905000,5250.967146094754,431.0606424369651
23587,16,05,1605,1605024,4,1778724905000,161.10726860014393,74.07286154654145
23588,16,05,1605,1605024,4,1778724905000,279.47434725605075,81.03663203645208
23589,16,05,1605,1605025,3,1778724905000,5211.186762791954,397.6119394512572
23590,16,05,1605,1605025,4,1778724905000,111.09137297642194,48.37585529411435
23591,16,05,1605,1605026,3,1778724905000,3276.1290263402334,271.54032687952684
23592,16,05,1605,1605027,3,1778724905000,937.4150972167903,132.56766656998232
23593,16,05,1605,1605027,4,1778724905000,59.210481183509685,33.26090640574538
23594,16,05,1605,1605028,3,1778724905000,4764.6095203543755,384.0140609158986
23595,16,05,1605,1605028,4,1778724905000,101.8050524770008,58.699063508811996
23596,16,05,1605,1605029,3,1778724905000,4233.088615847332,258.09093665021584
23597,16,05,1605,1605030,3,1778724905000,4790.765030017291,426.6435274802788
23598,16,05,1605,1605030,4,1778724905000,139.98858496370394,54.00880413975421
23599,15,10,1510,1510043,3,1778724905000,3574.0686533490584,328.1149506205526
23600,15,10,1510,1510043,4,1778724905000,114.85943943591518,48.6788739710212
23601,15,10,1510,1510043,4,1778724905000,147.50945211189443,58.24485824701689
23602,15,10,1510,1510044,3,1778724905000,4145.190457944213,257.7532238841064
23603,15,10,1510,1510045,3,1778724905000,3964.8664984417796,323.1688350623664
23604,15,10,1510,1510045,4,1778724905000,152.1311082674684,58.44551487278274
23605,15,10,1510,1510046,3,1778724905000,1647.6248417023187,208.20503168592268
23606,15,10,1510,1510042,3,1778724905000,20091.90089119427,847.6892089496793
23607,15,11,1511,1511101,3,1778724905000,68501.87819134328,1941.767418060902
23608,15,11,1511,1511101,3,1778724905000,1201.1034268414485,140.87926619857728
23609,15,11,1511,1511101,3,1778724905000,1894.016913744075,257.458552613574
23610,15,11,1511,1511102,3,1778724905000,738.2525644474659,115.1247426157192
23611,15,11,1511,1511102,3,1778724905000,16956.634276866618,570.6604979027537
23612,15,11,1511,1511999,3,1778724905000,59.410851784811896,45.41480841855415
23613,15,11,1511,1511999,3,1778724905000,424.1001302020526,169.64289587730696
23614,15,11,1511,1511999,3,1778724905000,439.54116244035123,211.36295347823392
